"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202003,94523,"pleasant hill, ca",2019,421,-336,-104,93.294348,92.03025422,94.55844247,28.5,0.7813,12.5,-0.1094,-3.5,-31,-0.2286,0.1211,2.3907,745050,-0.0436,-0.0119,2.3285
202003,94531,"antioch, ca",2632,2001,-1428,-1289,80.030114,87.02990405,73.03032425,33,0.9412,16,0.1379,4,-26.5,-0.3173,-0.1932,1.4106,550570,0.000900,0.0329,1.7206
202003,94103,"san francisco, ca",1599,3720,645,-186,68.961412,90.49653337,47.42629036,30,-0.0909,-3,-0.1429,-5,-29.5,-0.04,-0.04,0.9536,1155050,-0.0655,0.2094,3.6099
202003,94566,"pleasanton, ca",1308,2390,-2022,-1547,77.31984,75.36942363,79.27025702,41.5,1.3056,23.5,0.7292,17.5,-18,-0.3052,0.4398,1.5828,1276550,0.0638,-0.0467,3.9897
202003,94030,"millbrae, ca",5314,1602,NULL,455,82.845437,97.3457525,68.34512221,20.5,1.2778,11.5,-0.2679,-7.5,-39,-0.3311,0.2692,1.3113,1843994,0.0918,-0.0778,5.7632
202003,94066,"san bruno, ca",1471,571,NULL,124,91.55403,93.69703761,89.41102318,26.5,1.9444,17.5,-0.0536,-1.5,-33,-0.319,0.5677,1.9934,1008050,-0.0828,0.3006,3.1505
202003,94606,"oakland, ca",1717,4622,-2911,NULL,63.747461,74.01078507,53.48413754,42.5,2.8636,31.5,0.5179,14.5,-17,-0.2818,-0.2255,1.0464,637550,-0.0267,-0.0192,1.9925
202003,94520,"concord, ca",2603,464,-380,-180,92.755095,87.02990405,98.48028573,33,0.8333,15,0.65,13,-26.5,0.0041,0.8702,3.245,472050,0.3111,0.0489,1.4752
202003,94022,"los altos, ca",6036,7124,-3785,-5278,50.59528,67.78485888,33.40570068,46.5,0.6034,17.5,0.55,16.5,-13,-0.3448,-0.3667,0.755,3995050,-0.1311,-0.2459,12.4863
202003,94945,"novato, ca",6599,1263,-866,-20,85.688774,98.69038448,72.68716297,16.5,-0.0833,-1.5,-0.45,-13.5,-43,-0.3765,0.325,1.404,860050,-0.0601,-0.2827,2.6879
202003,94560,"newark, ca",2251,4170,-2428,1614,66.338679,87.5761608,45.10119756,32.5,1.9545,21.5,0.0833,2.5,-27,-0.3624,0.2411,0.9205,926438,-0.0624,0.0294,2.8954
202003,94501,"alameda, ca",106,951,-670,-788,88.308005,86.35758807,90.25842146,33.5,2.0455,22.5,0.5952,12.5,-26,-0.1348,-0.1149,2.0397,810050,0.0189,-0.099,2.5316
202003,94131,"san francisco, ca",2441,4187,-2704,-2267,66.282653,87.02990405,45.53540164,33,0.5,11,0.1379,4,-26.5,-0.4167,-0.2929,0.9272,1600050,0.0702,0.000100,5.0008
