month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201906,94559,"napa, ca",NULL,849050,-0.0509,0.0774,68,0.0968,0.2143,43,-0.0549,0,32,0,0,0,NULL,NULL,28,0,0,21,0.4,0.5,488.7048193,0.0064,-0.0304,1803,-0.0942,0.0374,1132934,-0.051,0.0995,89,0.1558,0.2714,0.3088,0.0669,0.0588
201906,94087,"sunnyvale, ca",NULL,1788050,-0.0011,-0.0534,37,-0.1395,0.1935,30,0.7647,0.25,28,-0.4167,-0.2222,0,NULL,-1,20,0,1.5,29,0,0.0357,1046.482558,-0.0225,-0.0451,1552,0.0013,-0.0378,1645548,-0.0426,-0.119,66,-0.0833,0.1186,0.7838,0.1094,-0.1194
201906,94550,"livermore, ca",NULL,879950,-0.0604,-0.0689,115,0.1275,0.6429,35,0.3208,0.9444,84,0.05,-0.087,0,-1,NULL,48,1,1.4,71,0.0597,-0.1647,448.4155456,-0.0029,-0.051,2000,-0.0387,-0.0172,1135549,-0.0447,-0.753,186,0.1006,0.2,0.6174,-0.0395,-0.5969
201906,94804,"richmond, ca",NULL,499050,0.001,0.0186,59,0.1132,0.3111,25,-0.2424,0.1364,60,0.1538,0.6667,4,NULL,0,12,-0.25,0.5,47,-0.0962,-0.0784,486.5334492,0.004,0.0644,1104,0.043,0.1007,519845,0.0092,0.004,106,0.0095,0.1042,0.7966,-0.1845,-0.3367
201906,94970,"stinson beach, ca",*,2695050,0,NULL,16,0.1429,NULL,45,1.6471,NULL,4,-0.5,0,0,NULL,NULL,0,NULL,NULL,2,0,NULL,1598,-0.0901,0.555,700,0.0463,0.0463,3174808,0.0818,0.5252,18,0.125,8,0.125,-0.0179,0.125
201906,94547,"hercules, ca",NULL,649050,0.007,0.0553,41,0.0513,0,31,0.1273,0.4762,36,0.125,-0.1,0,NULL,NULL,16,3,1,31,0,-0.4259,326.3075722,-0.013,-0.0134,1868,-0.021,0.0366,628909,0.0305,0.0425,72,0.0286,-0.2421,0.7561,-0.0388,-0.561
201906,94040,"mountain view, ca",NULL,2100050,0.0563,0.051,22,-0.0435,0.2222,23,0.84,0.4375,24,-0.3333,-0.1429,0,NULL,NULL,4,-0.6667,0,38,0.0556,0.8095,1117.47851,0.0217,0.0412,1680,0.0832,0.0579,2027227,0.0818,0.0064,60,0.0169,0.5385,1.7273,0.1621,0.5606
201906,94930,"fairfax, ca",NULL,1080050,-0.0909,0.0047,17,0,2.4,30,0.2766,0.5789,12,-0.25,0.5,0,NULL,NULL,8,1,NULL,7,0.75,1.3333,610.3522646,0.0167,-0.0671,1627,-0.1026,-0.086,1062343,-0.1734,0.0115,24,0.1429,2,0.4118,0.1765,-0.1882
201906,94561,"oakley, ca",NULL,548950,0.0083,0.0557,102,-0.0642,0.5224,37,0.2982,0.6087,68,-0.1053,-0.0556,4,0,NULL,28,-0.3,0.75,86,0.1026,0.075,254.8052421,-0.019,0.017,2151,0.0177,0.0691,568798,-0.0046,0.0085,188,0.0053,0.2789,0.8431,0.1275,-0.3509
201906,94510,"benicia, ca",NULL,639050,0.0104,-0.1,82,0.0789,0.7447,35,0.0938,0.1667,52,0.0833,0.4444,0,NULL,NULL,32,-0.1111,1,30,0.3636,0.25,361.0804851,0.0085,0.0137,1735,0.0043,-0.1651,667251,0.009,-0.1019,112,0.1429,0.5775,0.3659,0.0764,-0.1448
