regionname,city,Incr_Per,date,Incr_type,Year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy
94578,San Leandro,-0.023203583,201908,Decr,2019,201907,94578,"san leandro, ca",0.0968,0.3714,0,0.1262
94044,Pacifica,-0.024342567,201908,Decr,2019,201907,94044,"pacifica, ca",0.75,-0.0976,0.25,-0.2429
94123,San Francisco,0.012170891,201908,Incr,2019,201907,94123,"san francisco, ca",0.4118,-0.0263,0.5,-0.1887
94523,Pleasant Hill,0.029861897,201908,Incr,2019,201907,94523,"pleasant hill, ca",0.1304,0.2593,0,-0.3487
94303,Palo Alto,-0.107938848,201908,Huge_Decr,2019,201907,94303,"palo alto, ca",1.1667,0.3585,0,-0.4872
94954,Petaluma,-0.025068188,201908,Decr,2019,201907,94954,"petaluma, ca",0.2903,0.4889,-0.125,0.1161
94531,Antioch,0.030634981,201908,Incr,2019,201907,94531,"antioch, ca",0.3562,0.2041,0.25,-0.1486
94561,Oakley,0.00760992,201908,Incr,2019,201907,94561,"oakley, ca",0.4342,0.25,0.2353,-0.1599
94061,Redwood City,-0.048655936,201908,Decr,2019,201907,94061,"redwood city, ca",0.0952,0.8684,-0.4286,0.0538
94401,San Mateo,-0.066846093,201908,Decr,2019,201907,94401,"san mateo, ca",-0.0571,0.4063,-0.1667,0.1022
94043,Mountain View,-0.136398007,201908,Huge_Decr,2019,201907,94043,"mountain view, ca",0.5417,0,0.5,-0.143
94131,San Francisco,-0.023022034,201908,Decr,2019,201907,94131,"san francisco, ca",-0.3438,0.5833,-0.375,0.1518
94014,Daly City,-0.06046256,201908,Decr,2019,201907,94014,"daly city, ca",0.0952,0.3111,-0.4,0.0186
94520,Concord,0.0131464,201908,Incr,2019,201907,94520,"concord, ca",-0.0556,0.0794,0.4286,-0.0316
94133,San Francisco,-0.004795729,201908,Decr,2019,201907,94133,"san francisco, ca",0.8235,-0.2328,2,-0.186
94526,Danville,-0.030378764,201908,Decr,2019,201907,94526,"danville, ca",-0.0125,0.082,-0.25,-0.1446
94588,Pleasanton,-0.043089386,201908,Decr,2019,201907,94588,"pleasanton, ca",0.2308,0.0545,0,-0.1863
94070,San Carlos,-0.058219492,201908,Decr,2019,201907,94070,"san carlos, ca",0.6875,0.0702,0.2,0.0718
94903,San Rafael,0.002741703,201908,Incr,2019,201907,94903,"san rafael, ca",0.5758,0.0595,0,-0.0367
94602,Oakland,0.009418977,201908,Incr,2019,201907,94602,"oakland, ca",0.4,-0.3333,0.3333,0.0571
94306,Palo Alto,-0.10098237,201908,Huge_Decr,2019,201907,94306,"palo alto, ca",-0.0588,0.5435,0,-0.1397
94510,Benicia,0.010031811,201908,Incr,2019,201907,94510,"benicia, ca",0.449,0.2424,-0.3636,-0.0532
94607,Oakland,-0.029138707,201908,Decr,2019,201907,94607,"oakland, ca",0.3704,0.069,0.3333,-0.1181
94555,Fremont,-0.041106985,201908,Decr,2019,201907,94555,"fremont, ca",0.5294,0.9063,-0.4167,-0.6086
94134,San Francisco,0.006055319,201908,Incr,2019,201907,94134,"san francisco, ca",0.1579,0.25,0.4,0.0526
94530,El Cerrito,0.077006971,201908,Incr,2019,201907,94530,"el cerrito, ca",-0.0741,-0.4146,0.1667,0.0504
94549,Lafayette,0.01296387,201908,Incr,2019,201907,94549,"lafayette, ca",0.0962,-0.2386,0.125,0.0061
94002,Belmont,-0.067569692,201908,Decr,2019,201907,94002,"belmont, ca",0.6,-0.0357,0.2,-0.4167
94596,Walnut Creek,-0.009648294,201908,Decr,2019,201907,94596,"walnut creek, ca",0.1892,0.1818,0.5,-0.5614
94559,Napa,0.01776047,201908,Incr,2019,201907,94559,"napa, ca",0.2545,0.1412,0,-0.1136
94124,San Francisco,0.019871522,201908,Incr,2019,201907,94124,"san francisco, ca",0.3125,0.9836,-0.2,-0.3065
94598,Walnut Creek,-0.001789927,201908,Decr,2019,201907,94598,"walnut creek, ca",0.3143,0.5818,0.1111,-0.0379
94609,Oakland,-0.004633575,201908,Decr,2019,201907,94609,"oakland, ca",-0.1667,0.3182,-0.5,0.2222
94402,San Mateo,-0.063960955,201908,Decr,2019,201907,94402,"san mateo, ca",0.2727,0.2203,-0.5,-0.9351
94545,Hayward,-0.037570256,201908,Decr,2019,201907,94545,"hayward, ca",0.2258,0.525,-0.125,-0.1282
94062,Redwood City,-0.067806639,201908,Decr,2019,201907,94062,"redwood city, ca",0.2449,0.3176,-0.2857,-0.1127
94585,Suisun City,0.021337116,201908,Incr,2019,201907,94585,"suisun city, ca",0.28,0.0204,0,0.07
94518,Concord,0.001521613,201908,Incr,2019,201907,94518,"concord, ca",0.0244,0.8,-0.3333,-0.3113
94595,Walnut Creek,0.020003109,201908,Incr,2019,201907,94595,"walnut creek, ca",-0.2549,-0.1212,0.125,0.5531
94603,Oakland,0.027408126,201908,Incr,2019,201907,94603,"oakland, ca",-0.2895,0.18,-0.25,0.2904
94619,Oakland,0.001898221,201908,Incr,2019,201907,94619,"oakland, ca",-0.2903,0.4688,-0.25,0.0836
94801,Richmond,0.046789232,201908,Incr,2019,201907,94801,"richmond, ca",0.4048,-0.0413,0.4,-0.1106
94589,Vallejo,0.020494127,201908,Incr,2019,201907,94589,"vallejo, ca",-0.025,-0.1163,0,0.0346
94580,San Lorenzo,-0.041507718,201908,Decr,2019,201907,94580,"san lorenzo, ca",-0.2258,-0.0769,0,-0.0685
94947,Novato,-0.015064236,201908,Decr,2019,201907,94947,"novato, ca",0.0256,0.0968,-0.25,0.1628
94803,El Sobrante,0.042029788,201908,Incr,2019,201907,94803,"el sobrante, ca",-0.0811,0.0952,-0.5714,0.1717
94030,Millbrae,-0.056739144,201908,Decr,2019,201907,94030,"millbrae, ca",0.4375,1.0625,-0.5714,-0.7473
94085,Sunnyvale,-0.135847767,201908,Huge_Decr,2019,201907,94085,"sunnyvale, ca",0,1.6389,-0.8333,0.12
94547,Hercules,0.012009761,201908,Incr,2019,201907,94547,"hercules, ca",0.3243,-0.1455,0,-0.8941
94506,Danville,-0.01436644,201908,Decr,2019,201907,94506,"danville, ca",0.3947,0.1481,0.125,-0.1432
94024,Los Altos,-0.090439116,201908,Decr,2019,201907,94024,"los altos, ca",1.0667,0,-0.3333,-0.3548
94105,San Francisco,-0.014957779,201908,Decr,2019,201907,94105,"san francisco, ca",0.5085,-0.055,0.8,-0.1365
94702,Berkeley,-0.001973982,201908,Decr,2019,201907,94702,"berkeley, ca",1,-0.1014,2,-0.75
94301,Palo Alto,-0.121368494,201908,Huge_Decr,2019,201907,94301,"palo alto, ca",0.4762,0.5696,-0.3333,-0.0108
95620,Dixon,0.02569653,201908,Incr,2019,201907,95620,"dixon, ca",0.3125,0.1746,0.5,0.0223
94022,Los Altos,-0.111896115,201908,Huge_Decr,2019,201907,94022,"los altos, ca",0.5417,0.3049,0,-0.1926
94563,Orinda,-0.021884566,201908,Decr,2019,201907,94563,"orinda, ca",0.2,0.3294,-0.4286,-0.2367
94108,San Francisco,-0.035202303,201908,Decr,2019,201907,94108,"san francisco, ca",-0.2105,0.416,-1,0.0947
94564,Pinole,0.004493119,201908,Incr,2019,201907,94564,"pinole, ca",0.625,0.1481,0,-0.274
94949,Novato,-0.00066122,201908,Decr,2019,201907,94949,"novato, ca",1.0435,0.8103,0.3333,-0.1998
94945,Novato,-0.007078972,201908,Decr,2019,201907,94945,"novato, ca",-0.0313,0.1159,0,0.1079
94019,Half Moon Bay,-0.047955176,201908,Decr,2019,201907,94019,"half moon bay, ca",0,0.3226,-0.4,-0.2571
94503,American Canyon,-0.00494369,201908,Decr,2019,201907,94503,"american canyon, ca",-0.0938,-0.3415,0.6667,0.0603
94960,San Anselmo,-0.039287051,201908,Decr,2019,201907,94960,"san anselmo, ca",0.3182,0.8246,0,0.0721
94920,Tiburon,0.019931456,201908,Incr,2019,201907,94920,"belvedere tiburon, ca",-0.0274,0.1189,0,-0.011
94965,Sausalito,-0.013498247,201908,Decr,2019,201907,94965,"sausalito, ca",0.6522,-0.0737,1,0.0103
94507,Alamo,-0.035989975,201908,Decr,2019,201907,94507,"alamo, ca",0.3019,0.4643,-0.3333,-0.2078
94556,Moraga,0.00628336,201908,Incr,2019,201907,94556,"moraga, ca",1.2353,0.0139,0.6667,-0.4938
94571,Rio Vista,0.003725488,201908,Incr,2019,201907,94571,"rio vista, ca",0.0385,-0.2857,0,-0.0085
94805,Richmond,-0.01112847,201908,Decr,2019,201907,94805,"richmond, ca",-0.2,-0.102,-0.3333,0.11
94904,Kentfield,-0.017605594,201908,Decr,2019,201907,94904,"greenbrae, ca",-0.1563,0.09,-0.3333,-0.0451
94542,Hayward,-0.028493535,201908,Decr,2019,201907,94542,"hayward, ca",-0.3235,0.3846,-0.1667,0.1049
94517,Clayton,0.002749595,201908,Incr,2019,201907,94517,"clayton, ca",0.6667,0.7049,0,-0.2833
94552,Castro Valley,-0.028331394,201908,Decr,2019,201907,94552,"castro valley, ca",0.375,-0.0784,1,-0.1193
94930,Fairfax,0.013393521,201908,Incr,2019,201907,94930,"fairfax, ca",1.3333,1.4783,0,0.119
94109,San Francisco,0.054813461,201808,Incr,2018,201807,94109,"san francisco, ca",-0.0161,0.3649,-0.2857,-0.0405
